Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Data:	 4453	 1384	 -385	 -680	  -41	   49	  -58	 -208	 -316	  133	 -331	   91	 -130	 -130	 -126	  827	 -276	  329	 -492	 -682	 -521	 -181	 -532	  642
Data:	11392	 -670	-1014	 -744	  -42	   43	  -50	 -212	 -309	  140	 -325	  117	 -128	 -112	 -131	  828	 -261	  341	 -500	 -704	 -502	 -193	 -604	  631
Data:	16500	-2438	-1626	 -751	  -41	   40	  -39	 -195	 -302	  147	 -307	  137	 -123	 -101	 -130	  824	 -247	  329	 -484	 -683	 -445	 -167	 -647	  647
Data:	19809	-3900	-2179	 -719	  -38	   25	  -34	 -179	 -293	  143	 -306	  126	 -111	 -105	 -127	  830	 -254	  311	 -495	 -694	 -509	 -132	 -645	  653
Data:	21483	-5152	-2641	 -668	  -36	   19	  -31	 -177	 -313	  128	 -300	  116	  -89	 -103	 -119	  832	 -268	  311	 -489	 -684	 -532	 -156	 -628	  626
Data:	21711	-6301	-3020	 -629	  -30	    9	  -35	 -185	 -343	  120	 -300	  104	  -89	 -106	 -119	  831	 -265	  318	 -470	 -680	 -561	 -163	 -552	  593
Data:	20679	-7370	-3283	 -577	  -19	    0	  -43	 -182	 -367	  116	 -304	   85	  -79	 -120	 -115	  834	 -218	  332	 -451	 -657	 -501	 -196	 -563	  508
Data:	18668	-8271	-3412	 -521	   -7	   -2	  -47	 -174	 -333	  119	 -316	   86	  -89	 -127	 -119	  831	 -225	  338	 -451	 -645	 -509	 -141	 -572	  488
Data:	15992	-8831	-3397	 -419	   -6	    0	  -54	 -178	 -345	  103	 -325	   65	  -92	 -132	 -123	  831	 -218	  329	 -462	 -665	 -483	 -142	 -502	  505
Data:	12890	-8863	-3214	 -256	    4	   -6	  -62	 -193	 -391	   94	 -331	   62	  -77	 -149	 -122	  835	 -229	  352	 -462	 -653	 -527	 -119	 -464	  453
Data:	 9516	-8220	-2840	  -23	   14	    0	  -59	 -206	 -393	  100	 -343	   67	  -69	 -147	 -116	  830	 -218	  368	 -481	 -661	 -552	 -142	 -459	  404
Data:	 5964	-6845	-2232	  253	   28	    5	  -63	 -204	 -399	   96	 -369	   67	  -75	 -161	 -111	  842	 -218	  383	 -478	 -678	 -557	 -119	 -439	  419
Data:	 2287	-4803	-1423	  526	   53	    6	  -49	 -217	 -387	   73	 -381	   82	  -75	 -166	 -123	  838	 -211	  365	 -478	 -654	 -558	  -91	 -478	  494
Data:	-1421	-2279	 -489	  751	   79	    9	  -34	 -236	 -406	   60	 -392	   91	  -93	 -157	 -119	  839	 -220	  352	 -478	 -691	 -592	 -151	 -464	  490
Data:	-5027	  430	  448	  928	  125	   11	  -20	 -253	 -403	   54	 -381	   86	 -103	 -154	 -116	  834	 -207	  343	 -478	 -704	 -571	 -163	 -432	  497
Data:	-8329	 2981	 1326	 1060	  177	   14	  -12	 -251	 -390	   54	 -381	   74	  -95	 -159	 -120	  826	 -213	  359	 -497	 -655	 -546	 -136	 -419	  481
Data:	-11074	 5118	 2138	 1178	  228	   16	    8	 -243	 -410	   56	 -401	  101	 -102	 -163	 -123	  830	 -211	  357	 -478	 -657	 -533	 -119	 -390	  525
Data:	-12999	 6648	 2910	 1263	  254	   12	   12	 -236	 -417	   57	 -399	  121	  -92	 -154	 -120	  828	 -198	  357	 -446	 -670	 -525	  -58	 -347	  625
Data:	-13854	 7514	 3645	 1322	  264	   12	   22	 -222	 -442	   65	 -394	  116	 -108	 -159	 -128	  823	 -179	  352	 -478	 -669	 -453	  -30	 -340	  630
Data:	-13498	 7797	 4329	 1323	  253	   11	   14	 -202	 -461	   59	 -385	   83	 -126	 -162	 -124	  832	 -168	  357	 -468	 -672	 -424	    6	 -342	  677
Data:	-11913	 7628	 4895	 1263	  201	    6	    0	 -174	 -453	   68	 -381	   85	 -134	 -159	 -115	  834	 -171	  357	 -462	 -693	 -322	  -23	 -328	  619
Data:	-9287	 7147	 5212	 1114	  131	    0	  -23	 -156	 -450	   79	 -358	   83	 -118	 -157	 -119	  839	 -166	  383	 -484	 -716	 -300	   44	 -312	  672
Data:	-6012	 6444	 5169	  897	   49	   -6	  -34	 -133	 -436	   67	 -354	   85	 -118	 -166	 -120	  838	 -182	  377	 -481	 -711	 -368	   29	 -350	  658
Data:	-2537	 5578	 4727	  648	  -30	   -8	  -61	 -124	 -421	   73	 -361	   58	 -123	 -152	 -114	  835	 -204	  386	 -462	 -669	 -389	   41	 -327	  658
Data:	  683	 4560	 3965	  379	 -105	  -10	  -86	 -131	 -388	   85	 -369	   54	 -141	 -138	 -116	  836	 -186	  401	 -470	 -695	 -470	   33	 -335	  704
Data:	 3354	 3395	 3007	   94	 -187	  -13	 -108	 -136	 -359	   87	 -370	   48	 -139	 -125	 -122	  843	 -184	  411	 -473	 -671	 -517	  -35	 -329	  695
Data:	 5266	 2082	 1992	 -237	 -271	   -6	 -117	 -140	 -333	   79	 -378	   51	 -134	 -109	 -126	  828	 -209	  401	 -473	 -677	 -504	  -32	 -303	  688
